"(Benchmark_method, commit)",Add Parameter,Remove Method Annotation,Move Class,Change Return Type,Change Variable Type,Remove Parameter,Extract Class,Move Attribute,Move Method,Change Parameter Type,Extract Method,Change Attribute Type,Move And Inline Method,Inline Method,Add Method Annotation,Extract Variable,Merge Attribute,Parameterize Variable,Extract And Move Method,Add Class Annotation,Modify Method Annotation,Add Attribute Annotation,Inline Variable,Merge Parameter,Split Parameter,Extract Superclass,Extract Subclass,Pull Up Method,Push Down Method,Push Down Attribute,Extract Interface,Add Parameter Annotation,Modify Class Annotation,Remove Parameter Annotation,Replace Variable With Attribute,Remove Attribute Annotation,Move Source Folder,Reorder Parameter,Merge Variable,Pull Up Attribute,Remove Class Annotation,Extract Attribute,Change Package,Split Attribute,Remove Variable Annotation,Add Variable Annotation,Split Variable,Replace Attribute,sum,delta
"(io.crate.data.join.RowsBatchIteratorBenchmark.measureConsumeSkippingBatchIterator,7b7cb7f6d480a7e77fa4dc640b7b03fae7c7e543)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.crate.execution.engine.distribution.merge.SortedPagingIteratorBenchmark.measurePagingIteratorWithRepeat,7b7cb7f6d480a7e77fa4dc640b7b03fae7c7e543)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.crate.execution.engine.collect.collectors.LuceneBatchIteratorBenchmark.measureConsumeLuceneBatchIterator,7b7cb7f6d480a7e77fa4dc640b7b03fae7c7e543)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.crate.data.join.RowsBatchIteratorBenchmark.measureConsumeWindowBatchIterator,7b7cb7f6d480a7e77fa4dc640b7b03fae7c7e543)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.crate.execution.jobs.NodeOperationCtxBenchmark.measureCreateNodeOperationCtxPlusFindLeafs,7b7cb7f6d480a7e77fa4dc640b7b03fae7c7e543)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.crate.execution.engine.reader.JsonReaderBenchmark.measureFileReadingIteratorForJson,f3b62bc7f68e052952e7ffa28df9311d52dab57f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.crate.analyze.PreExecutionBenchmark.measureParseAnalyzeAndPlanSelectWithMultiPrimaryKeyLookup,f3b62bc7f68e052952e7ffa28df9311d52dab57f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.crate.data.join.RowsBatchIteratorBenchmark.measureConsumeHashInnerJoinWithHashCollisions,f3b62bc7f68e052952e7ffa28df9311d52dab57f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.crate.analyze.PreExecutionBenchmark.measureParseAnalyzeAndPlanSimpleSelect,f3b62bc7f68e052952e7ffa28df9311d52dab57f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.crate.execution.engine.collect.collectors.OrderedLuceneBatchIteratorBenchmark.measureLoadAndConsumeOrderedLuceneBatchIterator,f3b62bc7f68e052952e7ffa28df9311d52dab57f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
